name,full_name,owner,html_url,description,language,stars,forks,watchers,open_issues,created_at,updated_at
build-your-own-x,codecrafters-io/build-your-own-x,codecrafters-io,https://github.com/codecrafters-io/build-your-own-x,Master programming by recreating your favorite technologies from scratch.,Markdown,485494,45668,485494,460,2018-05-09T12:03:18Z,2026-04-02T08:19:30Z
awesome,sindresorhus/awesome,sindresorhus,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,,451004,33892,451004,59,2014-07-11T13:42:37Z,2026-04-02T08:19:12Z
freeCodeCamp,freeCodeCamp/freeCodeCamp,freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",TypeScript,440477,43959,440477,209,2014-12-24T17:49:19Z,2026-04-02T08:11:44Z
public-apis,public-apis/public-apis,public-apis,https://github.com/public-apis/public-apis,A collective list of free APIs,Python,418274,45438,418274,1172,2016-03-20T23:49:42Z,2026-04-02T08:23:28Z
free-programming-books,EbookFoundation/free-programming-books,EbookFoundation,https://github.com/EbookFoundation/free-programming-books,:books: Freely available programming books,Python,384854,66080,384854,78,2013-10-11T06:50:37Z,2026-04-02T08:29:00Z
developer-roadmap,kamranahmedse/developer-roadmap,kamranahmedse,https://github.com/kamranahmedse/developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,352031,43864,352031,2,2017-03-15T13:45:52Z,2026-04-02T08:27:38Z
openclaw,openclaw/openclaw,openclaw,https://github.com/openclaw/openclaw,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞 ,TypeScript,345210,68574,345210,17068,2025-11-24T10:16:47Z,2026-04-02T08:28:12Z
system-design-primer,donnemartin/system-design-primer,donnemartin,https://github.com/donnemartin/system-design-primer,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,Python,340976,55153,340976,521,2017-02-26T16:15:28Z,2026-04-02T08:24:47Z
coding-interview-university,jwasham/coding-interview-university,jwasham,https://github.com/jwasham/coding-interview-university,A complete computer science study plan to become a software engineer.,,340116,81840,340116,103,2016-06-06T02:34:12Z,2026-04-02T08:21:03Z
awesome-python,vinta/awesome-python,vinta,https://github.com/vinta/awesome-python,"An opinionated list of Python frameworks, libraries, tools, and resources",Python,290201,27552,290201,16,2014-06-27T21:00:06Z,2026-04-02T08:18:54Z
awesome-selfhosted,awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,A list of Free Software network services and web applications which can be hosted on your own servers,,283446,13052,283446,0,2015-06-01T02:33:17Z,2026-04-02T08:29:08Z
996.ICU,996icu/996.ICU,996icu,https://github.com/996icu/996.ICU,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,,275793,20919,275793,16698,2019-03-26T07:31:14Z,2026-04-02T07:18:16Z
project-based-learning,practical-tutorials/project-based-learning,practical-tutorials,https://github.com/practical-tutorials/project-based-learning,Curated list of project-based tutorials,,262176,34106,262176,284,2017-04-12T05:07:46Z,2026-04-02T08:27:39Z
react,facebook/react,facebook,https://github.com/facebook/react,The library for web and native user interfaces.,JavaScript,244325,50876,244325,1200,2013-05-24T16:15:54Z,2026-04-02T08:08:42Z
linux,torvalds/linux,torvalds,https://github.com/torvalds/linux,Linux kernel source tree,C,226486,61322,226486,3,2011-09-04T22:48:12Z,2026-04-02T08:20:09Z
Python,TheAlgorithms/Python,TheAlgorithms,https://github.com/TheAlgorithms/Python,All Algorithms implemented in Python,Python,219201,50289,219201,912,2016-07-16T09:44:01Z,2026-04-02T08:24:49Z
the-book-of-secret-knowledge,trimstray/the-book-of-secret-knowledge,trimstray,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, cli/web tools and more.",,212885,12742,212885,125,2018-06-23T10:43:14Z,2026-04-02T08:19:55Z
vue,vuejs/vue,vuejs,https://github.com/vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",TypeScript,209898,33834,209898,622,2013-07-29T03:24:51Z,2026-04-02T07:15:04Z
computer-science,ossu/computer-science,ossu,https://github.com/ossu/computer-science,🎓 Path to a free self-taught education in Computer Science!,HTML,202853,25210,202853,23,2014-05-04T00:18:39Z,2026-04-02T08:15:15Z
javascript-algorithms,trekhleb/javascript-algorithms,trekhleb,https://github.com/trekhleb/javascript-algorithms,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,JavaScript,195778,31099,195778,399,2018-03-24T07:47:04Z,2026-04-02T07:23:57Z
tensorflow,tensorflow/tensorflow,tensorflow,https://github.com/tensorflow/tensorflow,An Open Source Machine Learning Framework for Everyone,C++,194432,75259,194432,4062,2015-11-07T01:19:20Z,2026-04-02T08:23:45Z
ohmyzsh,ohmyzsh/ohmyzsh,ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",Shell,185831,26314,185831,527,2009-08-28T18:15:37Z,2026-04-02T07:49:24Z
You-Dont-Know-JS,getify/You-Dont-Know-JS,getify,https://github.com/getify/You-Dont-Know-JS,A book series (2 published editions) on the JS language.,,184505,33604,184505,2,2013-11-16T02:37:24Z,2026-04-02T07:14:43Z
CS-Notes,CyC2018/CS-Notes,CyC2018,https://github.com/CyC2018/CS-Notes,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,,184081,51089,184081,194,2018-02-13T14:56:24Z,2026-04-02T08:01:48Z
vscode,microsoft/vscode,microsoft,https://github.com/microsoft/vscode,Visual Studio Code,TypeScript,183300,38891,183300,15909,2015-09-03T20:23:38Z,2026-04-02T08:23:56Z
AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,183049,46221,183049,390,2023-03-16T09:21:07Z,2026-04-02T08:08:07Z
n8n,n8n-io/n8n,n8n-io,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,182097,56395,182097,1465,2019-06-22T09:24:21Z,2026-04-02T08:26:31Z
Python-100-Days,jackfrued/Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,Jupyter Notebook,180622,55556,180622,693,2018-03-01T16:05:52Z,2026-04-02T07:48:53Z
flutter,flutter/flutter,flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,175797,30205,175797,12518,2015-03-06T22:54:58Z,2026-04-02T08:17:38Z
bootstrap,twbs/bootstrap,twbs,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",MDX,174116,79011,174116,474,2011-07-29T21:19:00Z,2026-04-02T08:14:51Z
gitignore,github/gitignore,github,https://github.com/github/gitignore,A collection of useful .gitignore templates,,173245,82712,173245,114,2010-11-08T20:17:14Z,2026-04-02T08:02:11Z
Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting.",Batchfile,170600,16412,170600,5,2020-01-12T23:03:34Z,2026-04-02T08:24:04Z
awesome-go,avelino/awesome-go,avelino,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",Go,168858,13101,168858,173,2014-07-06T13:42:15Z,2026-04-02T08:14:52Z
ollama,ollama/ollama,ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,166740,15266,166740,2793,2023-06-26T19:39:32Z,2026-04-02T08:24:09Z
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,Python,162073,30205,162073,2473,2022-08-22T14:05:26Z,2026-04-02T08:03:39Z
the-art-of-command-line,jlevy/the-art-of-command-line,jlevy,https://github.com/jlevy/the-art-of-command-line,"Master the command line, in one page",,160478,14791,160478,256,2015-05-20T15:11:03Z,2026-04-02T06:57:49Z
transformers,huggingface/transformers,huggingface,https://github.com/huggingface/transformers,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",Python,158673,32709,158673,2334,2018-10-29T13:56:00Z,2026-04-02T08:21:30Z
