name,full_name,owner,html_url,description,language,stars,forks,watchers,open_issues,created_at,updated_at,repo_age_days
AutoGPT,Significant-Gravitas/AutoGPT,Significant-Gravitas,https://github.com/Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,183049,46221,183049,390,2023-03-16 09:21:07+00:00,2026-04-02 08:08:07+00:00,1112
n8n,n8n-io/n8n,n8n-io,https://github.com/n8n-io/n8n,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.",TypeScript,182097,56395,182097,1465,2019-06-22 09:24:21+00:00,2026-04-02 08:26:31+00:00,2475
Python-100-Days,jackfrued/Python-100-Days,jackfrued,https://github.com/jackfrued/Python-100-Days,Python - 100天从新手到大师,Jupyter Notebook,180622,55556,180622,693,2018-03-01 16:05:52+00:00,2026-04-02 07:48:53+00:00,2953
flutter,flutter/flutter,flutter,https://github.com/flutter/flutter,Flutter makes it easy and fast to build beautiful apps for mobile and beyond,Dart,175797,30205,175797,12518,2015-03-06 22:54:58+00:00,2026-04-02 08:17:38+00:00,4044
bootstrap,twbs/bootstrap,twbs,https://github.com/twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",MDX,174116,79011,174116,474,2011-07-29 21:19:00+00:00,2026-04-02 08:14:51+00:00,5360
gitignore,github/gitignore,github,https://github.com/github/gitignore,A collection of useful .gitignore templates,Unknown,173245,82712,173245,114,2010-11-08 20:17:14+00:00,2026-04-02 08:02:11+00:00,5623
Microsoft-Activation-Scripts,massgravel/Microsoft-Activation-Scripts,massgravel,https://github.com/massgravel/Microsoft-Activation-Scripts,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting.",Batchfile,170600,16412,170600,5,2020-01-12 23:03:34+00:00,2026-04-02 08:24:04+00:00,2271
awesome-go,avelino/awesome-go,avelino,https://github.com/avelino/awesome-go,"A curated list of awesome Go frameworks, libraries and software",Go,168858,13101,168858,173,2014-07-06 13:42:15+00:00,2026-04-02 08:14:52+00:00,4287
ollama,ollama/ollama,ollama,https://github.com/ollama/ollama,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models.",Go,166740,15266,166740,2793,2023-06-26 19:39:32+00:00,2026-04-02 08:24:09+00:00,1010
stable-diffusion-webui,AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Stable Diffusion web UI,Python,162073,30205,162073,2473,2022-08-22 14:05:26+00:00,2026-04-02 08:03:39+00:00,1318
